2025-01-30 00:30:20.61 info: Downloaded 969 events
2025-01-30 00:30:20.61 info: 918 events left after removing duplicates
2025-01-30 00:30:20.75 info: Ignored 0 events with ID smaller than the latest event ID
2025-01-30 00:30:20.75 info: Successfully processed 918 kill events
2025-01-30 00:30:20.75 info: Deleted data from 2025-01-23T00:00:00.000Z for kill type duo
2025-01-30 00:30:20.75 info: Deleted data from 2025-01-23T00:00:00.000Z for kill type solo
2025-01-30 00:30:20.75 info: Deleted data from 2025-01-23T00:00:00.000Z for kill type 3-5
2025-01-30 00:30:20.75 info: Deleted data from 2025-01-23T00:00:00.000Z for kill type 6-10
2025-01-30 00:30:20.75 info: Deleted data from 2025-01-23T00:00:00.000Z for kill type >10
2025-01-30 00:51:41.30 error: Error fetching data: Request failed with status code 504
2025-01-30 00:52:39.55 error: Error fetching data: Request failed with status code 504
2025-01-30 00:53:09.84 error: Error fetching data: Request failed with status code 504
2025-01-30 01:22:34.85 error: Error fetching data: Request failed with status code 504
2025-01-30 01:23:04.98 error: Error fetching data: Request failed with status code 504
2025-01-30 01:24:18.03 error: Error fetching data: Request failed with status code 504
2025-01-30 01:54:44.11 error: Error fetching data: Request failed with status code 504
2025-01-30 01:55:14.20 error: Error fetching data: Request failed with status code 504
2025-01-30 01:55:44.33 error: Error fetching data: Request failed with status code 504
2025-01-30 02:19:33.46 error: Error fetching data: Request failed with status code 504
2025-01-30 02:20:34.07 error: Error fetching data: Request failed with status code 504
2025-01-30 02:21:04.17 error: Error fetching data: Request failed with status code 504
2025-01-30 02:36:58.09 error: Error fetching data: Request failed with status code 504
2025-01-30 02:37:28.13 error: Error fetching data: Request failed with status code 504
2025-01-30 02:37:58.25 error: Error fetching data: Request failed with status code 504
2025-01-30 02:51:59.33 error: Error fetching data: Request failed with status code 504
2025-01-30 02:52:29.42 error: Error fetching data: Request failed with status code 504
2025-01-30 02:52:59.44 error: Error fetching data: Request failed with status code 504
2025-01-30 02:59:25.35 error: Error fetching data: Request failed with status code 504
2025-01-30 02:59:55.43 error: Error fetching data: Request failed with status code 504
2025-01-30 03:00:25.51 error: Error fetching data: Request failed with status code 504
